Poster_Link,Series_Title,Genre,Director,text-prep-stem
"https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",Marriage Story,"Comedy, Drama, Romance",Noah Baumbach,comedi drama romanc noah baumbach incis compassion look marriag break famili stay togeth noah baumbach adam driver scarlett johansson julia greer azhi robertson
"https://m.media-amazon.com/images/M/MV5BNDk3NTEwNjc0MV5BMl5BanBnXkFtZTgwNzYxNTMwMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",Call Me by Your Name,"Drama, Romance",Luca Guadagnino,drama romanc itali romanc blossom seventeenyearold student older man hire father research assist luca guadagnino armi hammer timothé chalamet michael stuhlbarg amira casar
"https://m.media-amazon.com/images/M/MV5BMTQ4NTMzMTk4NV5BMl5BanBnXkFtZTgwNTU5MjE4MDI@._V1_UX67_CR0,0,67,98_AL_.jpg","I, Daniel Blake",Drama,Ken Loach,drama suffer heartattack yearold carpent must fight bureaucrat forc system order receiv employ support allow ken loach laura obiol dave john hayley squir sharon perci
"https://m.media-amazon.com/images/M/MV5BZDQwOWQ2NmUtZThjZi00MGM0LTkzNDctMzcyMjcyOGI1OGRkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX67_CR0,0,67,98_AL_.jpg",Isle of Dogs,"Animation, Adventure, Comedy",Wes Anderson,anim adventur comedi set japan isl dog follow boy odyssey search lost dog wes anderson bryan cranston koyu rankin edward norton bob balaban
"https://m.media-amazon.com/images/M/MV5BMjI1MDQ2MDg5Ml5BMl5BanBnXkFtZTgwMjc2NjM5ODE@._V1_UX67_CR0,0,67,98_AL_.jpg",Hunt for the Wilderpeople,"Adventure, Comedy, Drama",Taika Waititi,adventur comedi drama nation manhunt order rebelli kid foster uncl go miss wild new zealand bush taika waititi sam neill julian dennison rima te wiata rachel hous
"https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_UX67_CR0,0,67,98_AL_.jpg",Captain Fantastic,"Comedy, Drama",Matt Ross,comedi drama forest pacif northwest father devot rais six kid rigor physic intellectu educ forc leav paradis enter world challeng idea mean parent matt ross viggo mortensen georg mackay samantha isler annalis basso
"https://m.media-amazon.com/images/M/MV5BMjEzODA3MDcxMl5BMl5BanBnXkFtZTgwODgxNDk3NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",Sing Street,"Comedy, Drama, Music",John Carney,comedi drama music boy grow dublin escap strain famili life start band impress mysteri girl like john carney ferdia walshpeelo aidan gillen maria doyl kennedi jack reynor
"https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",Thor: Ragnarok,"Action, Adventure, Comedy",Taika Waititi,action adventur comedi imprison planet sakaar thor must race time return asgard stop ragnarök destruct world hand power ruthless villain hela taika waititi chris hemsworth tom hiddleston cate blanchett mark ruffalo
"https://m.media-amazon.com/images/M/MV5BN2U1YzdhYWMtZWUzMi00OWI1LWFkM2ItNWVjM2YxMGQ2MmNhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",Nightcrawler,"Crime, Drama, Thriller",Dan Gilroy,crime drama thriller loui bloom con man desper work muscl world la crime journal blur line observ particip becom star stori dan gilroy jake gyllenha rene russo bill paxton riz ahm
"https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",Jojo Rabbit,"Comedy, Drama, War",Taika Waititi,comedi drama war young boy hitler armi find mother hide jewish girl home taika waititi roman griffin davi thomasin mckenzi scarlett johansson taika waititi
"https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_UX67_CR0,0,67,98_AL_.jpg",Arrival,"Drama, Sci-Fi",Denis Villeneuve,drama scifi linguist work militari communic alien lifeform twelv mysteri spacecraft appear around world deni villeneuv ami adam jeremi renner forest whitak michael stuhlbarg
"https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_UX67_CR0,0,67,98_AL_.jpg",Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",J.J. Abrams,action adventur scifi new threat galaxi rise rey desert scaveng finn exstormtroop must join han solo chewbacca search one hope restor peac jj abram daisi ridley john boyega oscar isaac domhnal gleeson
"https://m.media-amazon.com/images/M/MV5BMjA5NzgxODE2NF5BMl5BanBnXkFtZTcwNTI1NTI0OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Before Midnight,"Drama, Romance",Richard Linklater,drama romanc meet jess celin nine year greec almost two decad pass sinc first meet train bound vienna richard linklat ethan hawk juli delpi seamus daveyfitzpatrick arian labe
"https://m.media-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",Bryan Singer,action adventur scifi xmen send wolverin past desper effort chang histori prevent event result doom human mutant bryan singer patrick stewart ian mckellen hugh jackman jame mcavoy
"https://m.media-amazon.com/images/M/MV5BYTRkMDRiYmEtNGM4YS00NzM3LWI4MTMtYzk1MmVjMjM3ODg1XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY98_CR1,0,67,98_AL_.jpg",Bir Zamanlar Anadolu'da,"Crime, Drama",Nuri Bilge Ceylan,crime drama group men set search dead bodi anatolian stepp nuri bilg ceylan muhammet uzun yilmaz erdogan taner birsel ahmet mümtaz taylan
"https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY98_CR1,0,67,98_AL_.jpg",The Artist,"Comedy, Drama, Romance",Michel Hazanavicius,comedi drama romanc egomaniac film star develop relationship young dancer backdrop hollywood silent era michel hazanavicius jean dujardin bérénice bejo john goodman jame cromwel
"https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",Edge of Tomorrow,"Action, Adventure, Sci-Fi",Doug Liman,action adventur scifi soldier fight alien get reliv day day restart everi time die doug liman tom cruis emili blunt bill paxton brendan gleeson
"https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Amour,"Drama, Romance",Michael Haneke,drama romanc georg ann octogenarian coupl cultiv retir music teacher daughter also musician live britain famili one day ann stroke coupl bond love sever test michael hanek jeanloui trintign emmanuell riva isabell huppert alexandr tharaud
"https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Irishman,"Biography, Crime, Drama",Martin Scorsese,biographi crime drama old man recal time paint hous friend jimmi hoffa martin scorses robert de niro al pacino joe pesci harvey keitel
"https://m.media-amazon.com/images/M/MV5BMTUyMjQ1MTY5OV5BMl5BanBnXkFtZTcwNzY5NjExMw@@._V1_UY98_CR1,0,67,98_AL_.jpg",Un prophète,"Crime, Drama",Jacques Audiard,crime drama young arab man sent french prison jacqu audiard tahar rahim niel arestrup adel bencherif reda kateb
"https://m.media-amazon.com/images/M/MV5BMTgzODgyNTQwOV5BMl5BanBnXkFtZTcwNzc0NTc0Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",Moon,"Drama, Mystery, Sci-Fi",Duncan Jones,drama mysteri scifi astronaut sam bell quintessenti person encount toward end threeyear stint moon work alongsid comput gerti send back earth parcel resourc help diminish planet power problem duncan jone sam rockwel kevin spacey dominiqu mcelligott rosi shaw
"https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY98_CR1,0,67,98_AL_.jpg",Låt den rätte komma in,"Crime, Drama, Fantasy",Tomas Alfredson,crime drama fantasi oskar overlook bulli boy find love reveng eli beauti peculiar girl toma alfredson kåre hedebr lina leandersson per ragnar henrik dahl
"https://m.media-amazon.com/images/M/MV5BYmQ5MzFjYWMtMTMwNC00ZGU5LWI3YTQtYzhkMGExNGFlY2Q0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",District 9,"Action, Sci-Fi, Thriller",Neill Blomkamp,action scifi thriller violenc ensu extraterrestri race forc live slumlik condit earth find kindr spirit govern agent expos biotechnolog neill blomkamp sharlto copley david jame jason cope nathali boltt
"https://m.media-amazon.com/images/M/MV5BMTc5MjYyOTg4MF5BMl5BanBnXkFtZTcwNDc2MzQwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Wrestler,"Drama, Sport",Darren Aronofsky,drama sport fade profession wrestler must retir find quest new life outsid ring dispirit struggl darren aronofski mickey rourk marisa tomei evan rachel wood mark margoli
"https://m.media-amazon.com/images/M/MV5BYmIzYmY4MGItM2I4YS00OWZhLWFmMzQtYzI2MWY1MmM3NGU1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Jab We Met,"Comedy, Drama, Romance",Imtiaz Ali,comedi drama romanc depress wealthi businessman find life chang meet spunki carefre young woman imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh
"https://m.media-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Boyhood,Drama,Richard Linklater,drama life mason earli childhood arriv colleg richard linklat ellar coltran patricia arquett ethan hawk elijah smith
"https://m.media-amazon.com/images/M/MV5BYzU1YWUzNjYtNmVhZi00ODUyLTg4M2ItMTFlMmU1Mzc5OTE5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg","4 luni, 3 saptamâni si 2 zile",Drama,Cristian Mungiu,drama woman assist friend arrang illeg abort romania cristian mungiu anamaria marinca laura vasiliu vlad ivanov alexandru potocean
